14.00;27.75;87.89;72.25;87.89
14.10;23.95;88.82;76.05;88.82
14.20;28.95;89.02;71.05;89.02
14.30;33.95;86.73;66.05;86.73
14.40;38.95;86.66;61.05;86.66
14.50;43.95;86.72;56.05;86.72
14.60;40.35;86.37;59.65;86.37
14.70;36.75;88.45;63.25;88.45
14.80;33.15;87.44;66.85;87.44
14.90;29.55;85.05;70.45;85.05
15.00;25.95;83.52;74.05;83.52
15.10;30.55;85.06;69.45;85.06
15.20;35.15;88.09;64.85;88.09
15.30;39.75;86.87;60.25;86.87
15.40;44.35;88.79;55.65;88.79
15.50;48.95;88.39;51.05;88.39
15.60;45.35;87.42;54.65;87.42
15.70;41.75;86.46;58.25;86.46
15.80;38.15;87.54;61.85;87.54
15.90;34.55;85.53;65.45;85.53
16.00;30.95;88.52;69.05;88.52
16.10;35.15;86.17;64.85;86.17
16.20;39.35;82.15;60.65;82.15
16.30;43.55;82.27;56.45;82.27
16.40;47.75;82.74;52.25;82.74
16.50;51.95;82.80;48.05;82.80
16.60;55.35;84.15;44.65;84.15
16.70;58.75;83.62;41.25;83.62
16.80;62.15;84.70;37.85;84.70
16.90;65.55;84.66;34.45;84.66
17.00;68.95;83.68;31.05;83.68
17.10;64.15;85.88;35.85;85.88
17.20;59.35;84.75;40.65;84.75
17.30;54.55;84.96;45.45;84.96
17.40;49.75;87.44;50.25;87.44
17.50;44.95;88.49;55.05;88.49
17.60;49.55;88.59;50.45;88.59
17.70;54.15;83.60;45.85;83.60
17.80;58.75;85.47;41.25;85.47
17.90;63.35;84.79;36.65;84.79
18.00;67.95;85.95;32.05;85.95
18.10;63.15;87.66;36.85;87.66
18.20;58.35;83.24;41.65;83.24
18.30;53.55;83.77;46.45;83.77
18.40;48.75;83.36;51.25;83.36
18.50;43.95;79.92;56.05;79.92
18.60;40.35;84.79;59.65;84.79
18.70;36.75;80.04;63.25;80.04
18.80;33.15;79.55;66.85;79.55
18.90;29.55;81.63;70.45;81.63
19.00;25.95;78.61;74.05;78.61
19.10;30.75;82.97;69.25;82.97
19.20;35.55;79.88;64.45;79.88
19.30;40.35;78.83;59.65;78.83
19.40;45.15;80.80;54.85;80.80
19.50;49.95;82.02;50.05;82.02
19.60;54.15;84.90;45.85;84.90
19.70;58.35;79.94;41.65;79.94
19.80;62.55;80.96;37.45;80.96
19.90;66.75;83.29;33.25;83.29
20.00;70.95;84.70;29.05;84.70
20.10;67.75;86.15;32.25;86.15
20.20;64.55;80.32;35.45;80.32
20.30;61.35;80.98;38.65;80.98
20.40;58.15;79.63;41.85;79.63
20.50;54.95;80.30;45.05;80.30
20.60;58.95;83.82;41.05;83.82
20.70;62.95;81.88;37.05;81.88
20.80;66.95;81.76;33.05;81.76
20.90;70.95;82.54;29.05;82.54
21.00;74.95;79.58;25.05;79.58
21.10;71.35;84.07;28.65;84.07
21.20;67.75;82.40;32.25;82.40
21.30;64.15;82.45;35.85;82.45
21.40;60.55;83.32;39.45;83.32
21.50;56.95;85.47;43.05;85.47
21.60;52.95;87.36;47.05;87.36
21.70;48.95;84.59;51.05;84.59
21.80;44.95;84.76;55.05;84.76
21.90;40.95;83.88;59.05;83.88
22.00;44.75;87.25;55.25;87.25
22.10;48.55;90.98;51.45;90.98
22.20;52.35;89.13;47.65;89.13
22.30;56.15;90.54;43.85;90.54
22.40;59.95;89.60;40.05;89.60
22.50;64.15;90.38;35.85;90.38
22.60;68.35;92.89;31.65;92.89
22.70;72.55;91.69;27.45;91.69
22.80;76.75;94.89;23.25;94.89
22.90;80.95;93.87;19.05;93.87
23.00;76.95;96.85;23.05;96.85
23.10;72.95;96.66;27.05;96.66
23.20;68.95;96.01;31.05;96.01
23.30;64.95;96.60;35.05;96.60
23.40;60.95;96.88;39.05;96.88
23.50;65.15;100.00;34.85;100.00
23.60;69.35;96.75;30.65;96.75
23.70;73.55;98.00;26.45;98.00
23.80;77.75;97.20;22.25;97.20
23.90;81.95;96.07;18.05;96.07
24.00;77.95;99.29;22.05;99.29
24.10;73.95;95.11;26.05;95.11
24.20;69.95;94.58;30.05;94.58
24.30;65.95;94.91;34.05;94.91
24.40;61.95;96.28;38.05;96.28
24.50;57.95;97.36;42.05;97.36
24.60;53.95;93.98;46.05;93.98
24.70;49.95;95.29;50.05;95.29
24.80;45.95;95.92;54.05;95.92
24.90;41.95;95.17;58.05;95.17
25.00;38.75;98.09;61.25;98.09
25.10;35.55;95.27;64.45;95.27
25.20;32.35;95.42;67.65;95.42
25.30;29.15;95.79;70.85;95.79
